	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
16SC17351Y	0.07400000000000001	-0.267	-1.568	-2.356	-1.051	-1.054	0.213	-0.746	0.602	0.15	0.268	-1.1840000000000002	-2.352	-0.5479999999999999	0.575	1.123	2.005	-0.402	4.272	2.65	0.474	1.848	-1.21	-29.186999999999998
16SC19331Y	0.07400000000000001	-0.535	-0.998	-2.094	-0.955	-1.317	-0.16	-0.639	-0.371	0.449	0.35700000000000004	-0.11800000000000001	-1.9040000000000001	-0.365	-0.046	0.7340000000000001	1.4609999999999999	-0.483	4.621	2.9019999999999997	-0.685	1.4780000000000002	-1.159	-3.09
16SC15480Y	0.14800000000000002	-0.802	-2.9930000000000003	-3.142	-1.528	-2.634	-0.426	-2.131	0.371	0.0	0.17800000000000002	-0.5329999999999999	-2.352	-0.73	0.736	1.296	2.378	-0.966	5.144	1.136	-0.632	2.793	-0.6409999999999999	-27.676
16SC16005Y	0.222	-0.602	-0.998	-1.466	-1.242	-0.527	-0.319	-0.746	-0.41700000000000004	0.15	0.446	-0.5920000000000001	-1.9040000000000001	-1.004	-0.092	0.043	1.031	-0.684	2.092	1.767	0.158	1.643	-2.563	-30.011
16SC15146Y	0.295	-0.602	-0.998	-2.199	-1.337	-1.449	-0.053	-0.9590000000000001	0.046	-0.15	0.08900000000000001	-0.11800000000000001	-1.568	0.091	0.414	0.45399999999999996	1.375	-0.644	2.877	2.524	-0.527	1.93	-1.3030000000000002	-1.202
16SC18822Y	-0.222	-0.33399999999999996	-1.425	-2.4090000000000003	-1.242	-1.58	-0.585	-0.746	-0.139	0.449	-0.35700000000000004	-0.5920000000000001	-1.9040000000000001	-0.091	0.368	0.7340000000000001	1.604	-1.931	3.8360000000000003	3.659	-0.158	1.52	-2.278	-30.011
16SC99738Y	0.0	-0.8690000000000001	-1.2830000000000001	-2.3040000000000003	-1.051	-0.79	-0.266	-0.32	-0.046	0.299	0.0	-0.355	-1.68	-0.27399999999999997	0.368	1.123	2.062	-0.563	5.754	2.65	-0.158	1.807	-0.285	-29.976999999999997
16SC15187Y	0.14800000000000002	-0.735	-1.8530000000000002	-2.932	-1.433	-2.041	-0.37200000000000005	-1.0659999999999998	0.695	-0.075	-0.08900000000000001	-1.0659999999999998	-2.8	-0.593	0.23	1.469	1.9480000000000002	-1.288	5.231	1.767	-0.105	2.6689999999999996	0.0	5.7
16SC16475Y	0.0	-0.602	-0.998	-2.67	-0.764	-1.449	-0.16	-0.746	-0.324	0.299	0.268	-0.474	-1.12	-0.365	0.092	0.43200000000000005	1.232	-0.7240000000000001	2.267	2.65	-0.42200000000000004	1.1909999999999998	-1.5930000000000002	-1.545
16SC18850Y	0.295	-0.401	-1.568	-1.885	-0.955	-1.975	-0.319	-1.2790000000000001	0.741	0.449	0.268	-1.3030000000000002	-1.568	-1.46	0.322	0.648	0.9740000000000001	-1.046	0.785	0.379	-0.632	1.561	-1.5659999999999998	-28.191
16SC15385Y	0.0	-0.535	-1.995	-1.361	-0.86	-1.185	-0.213	-1.172	0.741	0.15	0.0	-1.3030000000000002	-2.24	-0.183	0.368	0.951	0.802	-1.368	4.098	0.505	-0.527	1.1909999999999998	-0.7120000000000001	-28.191
16SC18818Y	0.07400000000000001	-0.602	-1.2830000000000001	-1.571	-0.955	-1.054	-0.266	-0.213	-0.371	-0.15	0.08900000000000001	0.0	-1.5119999999999998	0.091	-0.046	0.49700000000000005	1.031	-0.322	4.01	3.155	0.21100000000000002	1.15	-1.665	-2.335
16SC16152Y	0.44299999999999995	0.0	-1.14	-2.4090000000000003	-0.955	-1.449	-0.266	-0.852	0.509	0.0	0.08900000000000001	-0.355	-1.7919999999999998	0.0	0.368	1.167	0.917	-1.207	2.79	1.262	-0.158	1.4780000000000002	-1.4240000000000002	-29.496
16SC16069Y	0.0	-0.602	-1.425	-2.3040000000000003	-1.146	-1.975	-0.585	-0.799	-0.371	-0.225	0.7140000000000001	-0.948	-1.7919999999999998	-0.73	0.276	1.383	1.031	-1.247	5.841	4.038	0.105	1.848	-1.014	-1.442
16SC14739Y	0.222	-0.33399999999999996	-2.423	-2.6180000000000003	-2.292	-1.844	-0.37200000000000005	-0.9590000000000001	0.41700000000000004	0.225	0.08900000000000001	-1.0659999999999998	-2.352	-0.73	0.598	1.642	2.8360000000000003	-1.207	5.754	0.883	-0.263	2.793	-1.068	-27.814
16SC18141Y	0.07400000000000001	-0.46799999999999997	-1.8530000000000002	-1.99	-1.146	-1.054	-0.426	-1.0659999999999998	0.41700000000000004	0.15	0.17800000000000002	-0.711	-0.56	0.091	0.368	0.951	1.661	0.24100000000000002	3.139	1.64	-0.053	1.93	-3.2039999999999997	-29.771
16SC15243Y	0.812	-0.134	-1.2830000000000001	-2.7230000000000003	-1.146	-1.58	-0.106	-1.0659999999999998	0.602	0.449	0.35700000000000004	-0.5920000000000001	-3.08	-0.046	0.552	1.771	2.492	-0.765	5.667000000000001	3.155	-0.21100000000000002	2.259	-0.7829999999999999	-29.153000000000002
16SC99740Y	0.0	-0.735	-1.995	-1.2570000000000001	-0.764	-1.712	-0.479	-0.639	0.648	-0.299	-0.624	-1.0659999999999998	-1.68	-0.639	0.276	0.562	0.802	-0.644	2.441	0.126	0.316	1.643	1.159	5.082
16SC18849Y	0.14800000000000002	-0.401	-1.995	-1.675	-0.669	-1.449	-0.479	-1.172	0.41700000000000004	0.0	-0.17800000000000002	-1.777	-1.7919999999999998	-0.73	0.23	1.469	1.318	-0.966	3.051	0.0	-1.054	2.3409999999999997	0.7240000000000001	4.189
16SC13079Y	0.07400000000000001	-0.401	-2.138	-2.199	-0.382	-1.58	-0.585	-0.852	0.185	0.075	0.624	-0.711	-0.56	-0.456	-0.046	0.648	0.888	-0.24100000000000002	3.923	2.271	0.21100000000000002	1.4369999999999998	-0.498	-30.046
16SC16948Y	0.0	-1.07	-1.995	-2.513	-1.624	-1.844	-0.106	-1.0659999999999998	0.556	0.674	0.08900000000000001	-0.948	-2.8	-1.004	0.391	0.562	2.12	-0.885	4.446000000000001	-0.757	-0.369	1.848	-1.6380000000000001	-27.195999999999998
16SC16116Y	0.14800000000000002	-0.067	-1.995	-3.037	-1.242	-2.305	-0.213	-0.9590000000000001	0.648	0.374	-0.624	-0.415	-3.0239999999999996	0.0	0.92	1.944	1.9480000000000002	-1.328	5.928999999999999	1.325	-0.42200000000000004	2.136	0.579	4.292
16SC18826Y	0.295	-0.535	-1.568	-2.199	-1.051	-1.185	-0.266	-0.32	0.0	0.225	0.446	-0.711	-2.128	-0.183	0.0	0.8640000000000001	0.802	-0.563	3.923	2.524	-0.474	1.0270000000000001	-0.8190000000000001	-30.08
16SC16133Y	0.44299999999999995	-0.067	-1.14	-2.199	-1.051	-1.712	-0.37200000000000005	-0.852	0.602	0.599	0.268	-0.474	-2.464	-0.5479999999999999	0.598	0.929	1.9769999999999999	-1.449	4.185	2.524	-0.105	2.423	-0.579	1.511
16SC19398Y	-0.14800000000000002	-0.134	-0.855	-2.094	-1.051	-1.054	-0.213	-0.5329999999999999	-0.278	-0.15	0.17800000000000002	-0.5920000000000001	-1.68	0.091	0.046	0.259	1.203	-0.563	3.8360000000000003	3.155	-0.42200000000000004	1.93	-1.81	-2.61
